,省区市,旅游总收入(亿元),同比增长,接待游客数(万人次),同比增长
1,四川,446.62,25.6,7073.01,10.8
2,广东,422.9,15.4,5564.6,15.3
3,湖北,290.3,28.6,2665.8,20.5
4,浙江,211.1,13.6,2227.9,8.8
5,陕西,207.17,40.5,4096.9,35.3
6,安徽,196.19,37.51,3153.47,17.6
7,湖南,176.52,27.59,2720.99,20.06
8,福建,172.24,32.8,2266.86,21.6
9,河南,156,94.22,2840,51.96
10,江西,145.52,33.12,2633.82,18.62
11,辽宁,145.12,12.1,2032,11.5
12,海南,137.23,10.3,567.55,10
13,重庆,133.73,29.6,4286.21,12.7
14,吉林,119.4,23.11,1262.84,18.26
15,贵州,115.73,35.15,1921.42,31.09
16,河北,111.5,92.1,1834.7,80.2
17,北京,72.6,8.4,770.7,4.9
18,甘肃,64.5,27.6,942,20
19,山西,62.96,31.78,1365.45,43.57
20,上海,49.41,1.5,443,0
21,天津,46.17,10.1,513.58,5.7
22,新疆,20.73,28.77,175.78,16.1
23,宁夏,8.24,34.21,200.12,25.98
24,内蒙古,2.43,36.09,462.15,30.16
25,江苏,251.72,7.2,2068.08,4.9
26,黑龙江,136.32,13.16,1122.67,11.21
27,广西,113.06,45.2,1983.19,32.3
28,山东,-,-,-,-
29,云南,192.93,42.35,2881.51,25.47
30,西藏,-,-,-,-
31,青海,-,-,-,-
